timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/20 00:33:56.325, 0, 94 %, 22135 MiB, 357.30 W
2026/09/20 00:33:56.326, 1, 91 %, 22225 MiB, 327.46 W
2026/09/20 00:34:26.327, 0, 95 %, 22135 MiB, 357.01 W
2026/09/20 00:34:26.328, 1, 94 %, 22225 MiB, 351.38 W
2026/09/20 00:34:56.330, 0, 95 %, 22135 MiB, 376.26 W
2026/09/20 00:34:56.333, 1, 93 %, 22225 MiB, 361.35 W
2026/09/20 00:35:26.334, 0, 95 %, 22135 MiB, 354.39 W
2026/09/20 00:35:26.335, 1, 91 %, 22225 MiB, 348.89 W
2026/09/20 00:35:56.336, 0, 95 %, 22463 MiB, 370.27 W
2026/09/20 00:35:56.337, 1, 91 %, 22225 MiB, 339.50 W
2026/09/20 00:36:26.339, 0, 95 %, 22463 MiB, 387.58 W
2026/09/20 00:36:26.340, 1, 83 %, 22225 MiB, 356.03 W
2026/09/20 00:36:56.342, 0, 95 %, 22463 MiB, 361.43 W
2026/09/20 00:36:56.343, 1, 98 %, 22225 MiB, 367.58 W
2026/09/20 00:37:26.345, 0, 95 %, 22463 MiB, 359.75 W
2026/09/20 00:37:26.346, 1, 91 %, 22225 MiB, 358.04 W
2026/09/20 00:37:56.348, 0, 95 %, 22463 MiB, 359.22 W
2026/09/20 00:37:56.348, 1, 91 %, 22225 MiB, 327.26 W
2026/09/20 00:38:26.350, 0, 95 %, 22463 MiB, 358.36 W
2026/09/20 00:38:26.351, 1, 92 %, 22225 MiB, 365.45 W
2026/09/20 00:38:56.352, 0, 97 %, 22463 MiB, 388.18 W
2026/09/20 00:38:56.353, 1, 84 %, 22225 MiB, 345.48 W
2026/09/20 00:39:26.355, 0, 94 %, 22463 MiB, 377.95 W
2026/09/20 00:39:26.356, 1, 91 %, 22225 MiB, 380.38 W
2026/09/20 00:39:56.357, 0, 95 %, 22463 MiB, 356.31 W
2026/09/20 00:39:56.359, 1, 91 %, 22225 MiB, 347.95 W
2026/09/20 00:40:26.360, 0, 95 %, 22463 MiB, 365.96 W
2026/09/20 00:40:26.361, 1, 91 %, 22225 MiB, 345.20 W
2026/09/20 00:40:56.363, 0, 94 %, 22463 MiB, 356.94 W
2026/09/20 00:40:56.364, 1, 91 %, 22225 MiB, 353.80 W
2026/09/20 00:41:26.366, 0, 94 %, 22463 MiB, 357.11 W
2026/09/20 00:41:26.367, 1, 90 %, 22225 MiB, 354.06 W
2026/09/20 00:41:56.369, 0, 94 %, 22463 MiB, 357.17 W
2026/09/20 00:41:56.370, 1, 91 %, 22225 MiB, 377.71 W
2026/09/20 00:42:26.372, 0, 95 %, 22463 MiB, 391.98 W
2026/09/20 00:42:26.373, 1, 94 %, 22225 MiB, 351.56 W
2026/09/20 00:42:56.374, 0, 95 %, 22463 MiB, 358.77 W
2026/09/20 00:42:56.375, 1, 91 %, 22225 MiB, 343.53 W
2026/09/20 00:43:26.377, 0, 94 %, 22463 MiB, 359.00 W
2026/09/20 00:43:26.377, 1, 97 %, 22225 MiB, 368.86 W
2026/09/20 00:43:56.380, 0, 95 %, 22463 MiB, 358.77 W
2026/09/20 00:43:56.381, 1, 91 %, 22225 MiB, 339.82 W
2026/09/20 00:44:26.382, 0, 95 %, 22463 MiB, 358.52 W
2026/09/20 00:44:26.383, 1, 91 %, 22225 MiB, 387.92 W
2026/09/20 00:44:56.385, 0, 95 %, 22463 MiB, 358.78 W
2026/09/20 00:44:56.386, 1, 91 %, 22225 MiB, 325.82 W
2026/09/20 00:45:26.387, 0, 95 %, 22463 MiB, 358.16 W
2026/09/20 00:45:26.388, 1, 92 %, 22225 MiB, 341.88 W
2026/09/20 00:45:56.390, 0, 99 %, 22463 MiB, 394.97 W
2026/09/20 00:45:56.391, 1, 95 %, 22225 MiB, 389.30 W
2026/09/20 00:46:26.393, 0, 95 %, 22463 MiB, 357.41 W
2026/09/20 00:46:26.394, 1, 91 %, 22225 MiB, 339.27 W
2026/09/20 00:46:56.395, 0, 94 %, 22463 MiB, 356.84 W
2026/09/20 00:46:56.396, 1, 91 %, 22225 MiB, 349.53 W
2026/09/20 00:47:26.398, 0, 92 %, 22463 MiB, 362.49 W
2026/09/20 00:47:26.399, 1, 91 %, 22225 MiB, 330.26 W
2026/09/20 00:47:56.401, 0, 95 %, 22463 MiB, 362.10 W
2026/09/20 00:47:56.402, 1, 92 %, 22225 MiB, 347.67 W
2026/09/20 00:48:26.403, 0, 95 %, 22463 MiB, 357.57 W
2026/09/20 00:48:26.404, 1, 91 %, 22225 MiB, 327.12 W
2026/09/20 00:48:56.406, 0, 94 %, 22463 MiB, 357.54 W
2026/09/20 00:48:56.408, 1, 99 %, 22225 MiB, 360.48 W
2026/09/20 00:49:26.409, 0, 97 %, 22463 MiB, 366.75 W
2026/09/20 00:49:26.410, 1, 91 %, 22225 MiB, 379.45 W
2026/09/20 00:49:56.412, 0, 95 %, 22463 MiB, 358.38 W
2026/09/20 00:49:56.413, 1, 86 %, 22225 MiB, 347.14 W
2026/09/20 00:50:26.414, 0, 95 %, 22463 MiB, 357.07 W
2026/09/20 00:50:26.416, 1, 91 %, 22225 MiB, 339.91 W
2026/09/20 00:50:56.417, 0, 95 %, 22463 MiB, 395.51 W
2026/09/20 00:50:56.418, 1, 91 %, 22225 MiB, 322.80 W
2026/09/20 00:51:26.422, 0, 94 %, 22463 MiB, 357.31 W
2026/09/20 00:51:26.423, 1, 91 %, 22225 MiB, 328.84 W
2026/09/20 00:51:56.424, 0, 95 %, 22463 MiB, 357.87 W
2026/09/20 00:51:56.425, 1, 91 %, 22225 MiB, 333.80 W
2026/09/20 00:52:26.427, 0, 94 %, 22463 MiB, 375.98 W
2026/09/20 00:52:26.428, 1, 91 %, 22225 MiB, 330.98 W
2026/09/20 00:52:56.429, 0, 95 %, 22463 MiB, 357.12 W
2026/09/20 00:52:56.431, 1, 91 %, 22225 MiB, 326.94 W
2026/09/20 00:53:26.432, 0, 95 %, 22463 MiB, 357.17 W
2026/09/20 00:53:26.433, 1, 97 %, 22225 MiB, 360.70 W
2026/09/20 00:53:56.435, 0, 95 %, 22463 MiB, 356.09 W
2026/09/20 00:53:56.436, 1, 91 %, 22225 MiB, 357.43 W
2026/09/20 00:54:26.437, 0, 95 %, 22463 MiB, 356.23 W
2026/09/20 00:54:26.438, 1, 91 %, 22225 MiB, 340.38 W
2026/09/20 00:54:56.439, 0, 94 %, 22463 MiB, 383.30 W
2026/09/20 00:54:56.440, 1, 100 %, 22225 MiB, 390.93 W
2026/09/20 00:55:26.441, 0, 95 %, 22463 MiB, 379.49 W
2026/09/20 00:55:26.442, 1, 91 %, 22225 MiB, 328.73 W
2026/09/20 00:55:56.444, 0, 95 %, 22463 MiB, 389.78 W
2026/09/20 00:55:56.445, 1, 91 %, 22225 MiB, 328.26 W
2026/09/20 00:56:26.446, 0, 95 %, 22463 MiB, 358.07 W
2026/09/20 00:56:26.447, 1, 91 %, 22225 MiB, 332.45 W
2026/09/20 00:56:56.449, 0, 100 %, 22463 MiB, 399.32 W
2026/09/20 00:56:56.450, 1, 37 %, 22225 MiB, 244.22 W
2026/09/20 00:57:26.451, 0, 94 %, 22463 MiB, 357.13 W
2026/09/20 00:57:26.452, 1, 54 %, 22225 MiB, 227.29 W
2026/09/20 00:57:56.454, 0, 94 %, 22463 MiB, 357.83 W
2026/09/20 00:57:56.455, 1, 91 %, 23125 MiB, 321.07 W
2026/09/20 00:58:26.457, 0, 95 %, 22463 MiB, 378.03 W
2026/09/20 00:58:26.457, 1, 0 %, 23125 MiB, 75.64 W
2026/09/20 00:58:56.459, 0, 95 %, 22463 MiB, 355.39 W
2026/09/20 00:58:56.460, 1, 93 %, 23125 MiB, 310.00 W
2026/09/20 00:59:26.461, 0, 100 %, 22463 MiB, 404.77 W
2026/09/20 00:59:26.462, 1, 0 %, 23125 MiB, 122.65 W
2026/09/20 00:59:56.464, 0, 95 %, 22463 MiB, 350.82 W
2026/09/20 00:59:56.465, 1, 91 %, 23125 MiB, 396.70 W
2026/09/20 01:00:26.466, 0, 100 %, 22463 MiB, 365.80 W
2026/09/20 01:00:26.467, 1, 91 %, 23125 MiB, 400.56 W
2026/09/20 01:00:56.469, 0, 95 %, 22463 MiB, 348.41 W
2026/09/20 01:00:56.470, 1, 0 %, 23125 MiB, 87.35 W
2026/09/20 01:01:26.471, 0, 100 %, 22463 MiB, 383.29 W
2026/09/20 01:01:26.472, 1, 91 %, 23125 MiB, 114.76 W
